,infected_4h_1,infected_4h_2,infected_12h_1,infected_12h_2,infected_24h_1,infected_24h_2,mock_4h_1,mock_4h_2,mock_24h_1,mock_24h_2
ZCCHC4,1.9,2.12,1.64,0.91,1.42,1.23,2.23,1.35,2.59,2.75
ZCCHC7,1.3,1.45,0.56,0.51,0.86,0.78,1.46,1.01,1.48,1.07
ZCCHC8,5.81,6.19,4.5,3.4,3.58,3.43,6.28,3.99,6.59,7.39
ZCCHC9,9.28,11.07,3.71,5.01,3.92,4.23,9.99,8.23,9.02,11.78
ZCRB1,9.62,10.9,4.64,4.95,4.43,4.24,14.51,13.5,19.36,13.47
ZCWPW1,1.17,1.41,0.6,0.3,0.41,0.31,1.82,0.98,1.02,1.17
ZCWPW2,0.01,0.05,0,0,0,0.07,0.05,0.15,0.07,0.03
ZDBF2,0,0,0,0,0.03,0.06,0.01,0,0,0.01
ZDHHC1,1.87,1.63,0.4,0.4,0.68,0.49,1.52,1.12,1.44,1.96
ZDHHC11,1.61,1.25,1,0.83,0.87,0.97,1.73,0.84,0.91,0.7
ZDHHC11B,0.02,0.02,0.02,0.02,0.12,0.12,0.15,0.05,0.02,0.04
ZDHHC12,7.13,5.86,3.99,5.3,2.42,3.76,6.12,7.01,8.66,8.07
ZDHHC13,5.33,6.98,3.48,4.26,5.85,4.62,6.6,5.56,10.01,8.95
ZDHHC14,3.29,5.19,4.5,2.95,2.42,3.07,5.03,2.31,2.33,3.44
ZDHHC15,0,0,0,0,0,0,0,0,0,0
ZDHHC16,4.37,5.27,1.44,2.1,1.82,1.89,4.57,3.09,4.54,3.94
ZDHHC17,4.35,3.51,4.42,3.38,3.31,2.85,5.63,2.58,5.28,5.58
ZDHHC18,4.52,5.09,1.39,2.28,1.51,1.86,5.41,3.65,3.44,3.81
ZDHHC19,0.03,0,0,0,0.12,0,0,0,0,0
ZDHHC2,14.33,10.59,5.15,8.71,4.62,4.91,13.23,6.78,8.71,13.59
ZDHHC20,13.29,15.52,8.95,7.58,6.08,8.26,19.35,9.44,20.04,21.16
ZDHHC20-IT1,0,0,0,0,0,0,0,0,0,0
ZDHHC20P1,0,0,0,0,0,0,0,0,0,0
ZDHHC20P2,0,0,0,0,0,0,0,0,0,0
ZDHHC20P3,0,0,0,0,0,0,0,0,0,0
ZDHHC20P4,0.09,0.16,0.06,0.19,0.06,0,0.19,0.22,0.21,0.29
ZDHHC21,1.37,1.64,0.63,0.52,0.41,0.72,1.67,1.01,1.67,2.09
ZDHHC22,0.01,0,0,0,0,0,0,0,0,0
ZDHHC23,5.32,5.22,2.55,2.66,1.24,2.05,6.06,3.75,4.82,5.74
ZDHHC24,2.78,2.68,0.75,1.1,1.07,0.66,2.74,1.58,2.03,2.06
ZDHHC3,29.32,23.05,10.47,15.69,16.9,15.49,25.27,19.03,30.97,29.65
ZDHHC4,24.15,26.65,11.26,9.57,8.74,8.02,27.47,18.98,22.29,25.31
ZDHHC4P1,0,0,0.18,0.31,0.06,0.4,0.06,0.07,0,0.06
ZDHHC5,18.66,19.07,11.34,9.98,9.05,9.4,21.32,11.36,20.67,21.06
ZDHHC6,9.26,9.6,6.57,4.61,5.81,4.35,11.15,6.81,11.24,15.99
ZDHHC7,4.4,5.77,2.76,2.49,1.84,1.99,5.26,4.56,4.11,5.17
ZDHHC8,2.49,2.6,2.02,1.21,0.39,1.25,4.33,2.12,1.81,2.08
ZDHHC8P1,0.05,0.24,0,0,0,0,0.02,0.04,0,0
ZDHHC9,16.6,16.84,6.92,7.74,5.3,6.07,18.32,11.85,16.61,15.91
ZEB1,1.05,1.26,1.09,1.2,3.1,1.38,1.39,1.01,1.91,1.64
ZEB1-AS1,2.4,2.4,1.45,0.96,2.2,1.55,2.95,1.68,3.38,2.73
ZEB2,0.16,0.07,0.4,0.44,2.81,2.39,0.02,0.06,0.1,0.03
ZEB2-AS1,0,0,0,0,0.07,0.32,0,0,0,0
ZEB2P1,0,0,0,0,0,0,0.05,0.04,0,0
ZER1,2.48,2.2,1.98,1.93,1.54,2.13,4.09,2.84,3.65,3.49
ZFAND1,11.7,13.57,5.09,5.83,3.49,6.67,14.38,12.19,12.21,12.1
ZFAND2A,14.42,16.33,5.9,9.04,10.26,9.35,18.71,16.39,12.94,12.59
ZFAND2B,8.99,8.35,4.63,4.3,4.49,4.43,10.51,8.44,9.27,8.91
ZFAND3,11.14,13.84,8.38,6.32,6.45,9.69,15.59,10.17,12.96,14.12
ZFAND4,1.69,1.68,0.79,0.65,0.56,0.96,2.11,0.86,1.51,1.88
ZFAND5,10,12.81,8.39,7.51,10.21,10.86,10.16,7.68,13.27,18.99
ZFAND6,24.53,24.24,8.82,11.29,10.85,12.47,26.51,21.13,33.47,34.68
ZFAND6P1,0,0,0,0.1,0,0,0,0.01,0,0
ZFAS1,63.97,68.91,27.41,34.74,35.87,40.77,68.62,59.37,55.92,57.15
ZFAT,3.06,3.38,2.52,3.46,1.66,2.95,3.38,1.95,3.72,5.6
ZFAT-AS1,0,0.01,0,0.16,0,0,0,0.05,0,0
ZFC3H1,6.34,5.76,3.78,2.51,4.81,5.13,4.9,4.27,6.61,6.5
ZFHX2,0.25,0.42,0.17,0.14,0.4,0.11,0.29,0.11,0.18,0.27
ZFHX2-AS1,1.1,1.78,0.69,0.95,0.3,0.46,1.73,0.97,0.94,1.15
ZFHX3,0.74,0.89,0.39,0.44,0.64,0.55,1.1,0.34,0.45,0.97
ZFHX4,0.88,1,0.63,0.42,0.37,0.97,1.14,0.85,0.53,0.96
ZFHX4-AS1,0,0,0.02,0,0,0,0.02,0.01,0.02,0.04
ZFP1,5.45,4.51,2,2.33,2.58,2.09,4.65,2.37,2.81,5.41
ZFP14,0.55,0.64,0.34,0.48,0.19,0.23,0.38,0.33,0.79,1.25
ZFP2,0.07,0.12,0,0.03,0,0,0.08,0,0,0
ZFP28,0,0.01,0,0,0,0,0.01,0.02,0.01,0
ZFP3,0,0,0,0.02,0,0,0,0,0.01,0.01
ZFP30,1.95,2.63,1.28,0.8,0.61,1.31,1.94,0.91,2.48,3.82
ZFP36,1.88,2.71,5.93,4.78,8.89,10.58,2.27,1.9,1.99,2.15
ZFP36L1,4.15,6.57,5.13,3.91,6.76,7.67,6.19,3.36,9.75,9.21
ZFP36L2,2.55,3.26,1.66,1.94,3.3,4.08,2.99,1.51,3.02,3.37
ZFP37,0.6,0.87,0.52,0.5,0.37,0.57,0.76,0.35,0.56,1.14
ZFP41,5.58,6.82,2.32,2.1,2.09,1.59,5.61,2.88,3.35,1.85
ZFP42,0,0,0,0,0,0,0,0,0.02,0
ZFP57,0.03,0.08,0,0,0.04,0,0,0.02,0.07,0.08
ZFP62,9.79,10.56,5.22,3.62,2.17,5.21,9.44,6.73,10.34,11.29
ZFP64,2.07,2.06,1.2,0.76,0.91,1.43,1.91,1.09,1.93,2.41
ZFP64P1,0,0.04,0,0,0.05,0,0,0.03,0,0.05
ZFP69,1.71,1.75,0.59,0.51,0.27,0.35,1.41,1.25,1.35,1.37
ZFP69B,1.41,0.88,0.3,0.38,0.15,0.09,1.35,0.96,1.12,1.31
ZFP82,0.02,0.02,0.04,0,0,0.04,0,0,0,0.02
ZFP90,4.2,5.58,2.54,1.79,1.9,2.23,5.47,4.08,7.08,5.59
ZFP91,18.7,20.2,8.78,8.21,8.16,8.73,21.77,13.37,17.02,18.42
ZFP91-CNTF,0.94,0.59,0.27,1.31,1.5,0.54,0.94,0.14,0.78,0.32
ZFP91P1,0,0,0.05,0.11,0,0,0.16,0,0.09,0.05
ZFP92,0,0.01,0,0,0.05,0,0,0.02,0,0
ZFPL1,12.55,11.36,5.66,6.58,7.35,6.59,17.2,11.73,14.65,16.13
ZFPM1,0.07,0.36,0,0.09,0,0,0.02,0.01,0.13,0.15
ZFPM2,0.06,0.06,0.19,0.08,0.25,0.56,0.02,0.05,0.1,0.1
ZFPM2-AS1,1.75,1.53,0.65,0.85,1.12,1.73,0.96,1.22,1.28,2.59
ZFR,20.77,26.9,12.14,11.66,9.76,9.66,25.86,16.5,25.76,25.75
ZFR2,0,0,0,0,0,0,0,0,0,0
ZFRP1,0.01,0,0,0,0,0,0,0,0,0
ZFX,6.3,7.21,4.52,5.28,6.3,4.86,5.45,3.24,5.06,5.73
ZFX-AS1,0,0,0,0,0,0,0,0,0,0
ZFY,0,0,0,0,0,0,0,0,0,0
ZFY-AS1,0,0,0,0,0,0,0,0,0,0
ZFYVE1,1.8,1.42,1.11,1.26,1.19,0.93,1.41,0.96,1.47,1.42
ZFYVE16,7.44,10.76,5.53,3.98,7.01,4.86,9.73,3.97,10.47,10.62
ZFYVE19,4.77,4.21,1.84,3.45,1.82,1.65,5.01,3.65,5.8,3.02
ZFYVE21,12.12,12.81,5.69,5.98,4.18,5,13.32,10.83,14.62,12.71
ZFYVE26,2.39,3.25,3.64,3.11,3.57,2.35,2.75,1.67,3.44,3.16
ZFYVE27,4.29,5.52,2.04,3,2.6,2.33,5.25,4.29,4.47,3.92
ZFYVE28,0,0.11,0,0.06,0.12,0.04,0.13,0.07,0.06,0.08
ZFYVE9,3.54,4.77,1.51,1.88,1.62,1.47,4.52,2.72,4.53,4.99
ZFYVE9P1,0,0,0,0,0,0,0,0,0,0.03
ZFYVE9P2,0,0,0,0,0,0,0,0,0,0
ZG16,0,0,0,0.02,0,0.01,0,0,0,0
ZG16B,1.03,0.73,0.53,0.12,0.48,0.36,1.25,1.14,1.64,0.7
ZGLP1,0.36,1.1,0.12,0.98,0.86,0.51,0.59,0.21,1.27,0.52
ZGPAT,6.93,7.94,5.77,3.92,3.35,6.75,7.84,4.9,7.4,5.91
ZGRF1,1.97,2.76,1.93,1.6,0.9,1.59,4.34,2.39,2.61,3.06
ZHX1,6.95,7.44,3,3.51,3.17,3.37,8.49,5.86,9.48,7.1
ZHX1-C8orf76,0.62,0.82,0.27,1.9,0.35,0.33,0.63,0.61,0.81,0.64
ZHX2,3.95,3.77,2.51,2.74,4.29,3.72,4.31,2.19,3.39,4.92
ZHX3,3.4,3.67,1.09,2.01,1.89,1.06,3.06,1.77,2.28,2.73
ZIC1,0,0.01,0,0.01,0.13,0.12,0.29,0.09,0.12,0.01
ZIC2,0.2,0.47,0.02,0.06,0,0.12,0.39,0.13,0.12,0.73
ZIC3,0.02,0.01,0,0,0,0,0,0,0,0
ZIC4,0,0.03,0,0,0.06,0.14,0,0.04,0.01,0.03
ZIC4-AS1,0,0,0,0,0,0,0,0,0,0
ZIC5,0.29,0.28,0.06,0.01,0,0.02,0.21,0.19,0.13,0.17
ZIK1,0.02,0.02,0.15,0.32,0.14,0,0.01,0.26,0.13,0.24
ZIK1P1,0,0,0,0,0.04,0,0,0,0,0
ZIM2,0,0,0,0,0,0,0,0,0,0
ZIM2-AS1,0,0,0,0,0,0,0,0,0,0
ZIM3,0,0,0,0,0,0,0,0.02,0.02,0
ZKSCAN1,4.99,5.94,4.23,3.9,7.04,5.59,7.21,4.77,8.96,8.02
ZKSCAN2,1.34,1.53,0.85,0.7,1.26,0.75,1.16,0.56,1.56,1.33
ZKSCAN2-DT,0.41,0.68,0.12,0.3,0.34,0.33,0.53,0.25,0.4,0.45
ZKSCAN3,1.25,1.56,0.61,0.49,0.53,0.5,0.97,0.91,1.73,1.05
ZKSCAN4,1.2,1.19,0.66,0.56,0.51,0.55,1.19,0.81,1.22,1.38
ZKSCAN5,1.77,2.46,1.2,1.18,1.69,1.16,1.8,1.26,2.47,2.6
ZKSCAN7,0.29,0.54,0.31,0.58,0.2,0.12,0.3,0.08,0.7,0.52
ZKSCAN7-AS1,0,0,0,0,0,0,0,0,0,0
ZKSCAN7P1,0,0.27,0.43,0,0,0,0.11,0.06,0,0
ZKSCAN8,4.71,5.69,3.05,1.99,2.98,3.21,4.72,2.3,5.4,5.67
ZMAT1,0.28,0.51,0.21,0.16,0.11,0.23,0.39,0.18,0.5,0.53
ZMAT2,39.18,39.89,21.84,16.98,18.06,25.04,52.02,35.77,62.48,56.87
ZMAT3,2.27,2.61,0.71,0.54,1.08,0.47,2.46,1.43,1.9,2.49
ZMAT4,0,0,0,0,0,0,0,0,0,0
ZMAT5,6.46,5.15,2.41,2.02,2.26,2.27,6.8,5.87,5.69,6.48
ZMIZ1,0.42,0.72,0.35,0.34,0.24,0.26,0.68,0.25,0.44,0.89
ZMIZ1-AS1,0.04,0.07,0,0,0,0.06,0.02,0.02,0,0.07
ZMIZ2,10.28,9.99,6.08,5.48,6.26,5.04,10.28,6.08,6.94,7.72
ZMPSTE24,11.56,12.86,5.79,5.24,4.35,4.22,19.6,10.78,13.88,15.57
ZMYM1,3.19,5.52,2,3.58,3.14,3.24,6.48,2.63,6.33,5.99
ZMYM2,9.05,9.04,6.18,4.91,4.69,7.47,9.22,7.38,12.89,14.96
ZMYM3,5.59,5.96,2.59,2.47,2.08,2.69,6.09,3.8,7.33,7.17
ZMYM4,9.55,16.23,8.62,8.97,6.55,7.11,13.55,7.05,16.26,16.89
ZMYM4-AS1,0,0.62,0.24,0,0.78,0.59,0,0.14,1.05,0.21
ZMYM5,2.37,1.94,1.32,1.26,1.32,1.28,2.57,1.53,2.56,3.16
ZMYM6,3.3,4.87,0.77,1.21,0.64,1.08,4.79,1.59,2.1,3.23
ZMYND10,0.02,0,0.11,0,0,0,0,0.07,0.17,0.03
ZMYND10-AS1,0,0,0,0,0,0,0,0,0,0
ZMYND11,7.75,10.64,4.64,4.39,2.77,2.45,9.46,5.55,9.95,8.05
ZMYND12,0.8,0.56,0.11,0.22,0,0.4,0.35,0.52,0.53,0.38
ZMYND15,0.18,0.26,0.14,0.15,0.09,0.11,0.11,0.19,0.3,0.11
ZMYND19,7.91,7.31,2.82,3.42,1.79,2.72,8.36,7.1,5.71,5.08
ZMYND19P1,0.12,0.29,0,0.35,0.16,0.07,0.17,0.1,0.84,0.08
ZMYND8,3.59,2.84,1.84,1.87,2.28,2.97,3.28,2.38,4.87,4.25
ZNF10,2.06,3.59,1.68,1.03,2.12,1.18,2.56,1.25,2.51,2.65
ZNF100,1.35,1.78,1.63,1.64,1.06,1.39,1.84,0.81,2.36,1.53
ZNF101,2.2,1.93,1.15,1.62,0.98,2.34,2.84,0.93,2.41,2.04
ZNF101P1,0,0,0,0,0,0,0,0,0,0
ZNF101P2,0.04,0.25,0,0.5,0.09,0.53,0.2,0.15,0.32,0.09
ZNF106,5.44,7.07,3.8,3.11,3.25,2.42,6.4,4.72,8.47,7.54
ZNF107,1.03,1.04,1.78,1.21,0.91,1.41,1.42,0.83,1.57,1.5
ZNF112,2.12,2.81,1.12,1.41,0.83,1.2,2.25,0.93,2.01,2.04
ZNF114,0.04,0.15,0.03,0,0.08,0.2,0.23,0.1,0.02,0.03
ZNF114-AS1,0,0,0,0,0,0,0,0,0,0
ZNF114P1,0,0,0,0,0,0,0,0,0,0
ZNF117,0.15,0.18,0.18,0.11,0.08,0.19,0.13,0.08,0.74,0.3
ZNF12,7.17,9.28,3.95,4.1,2.98,4.86,7.81,4.64,7.24,8.96
ZNF121,14.28,20.88,9.31,8.4,8.12,9.87,17.03,9.69,22.84,20.84
ZNF123P,0,0,0,0,0,0,0,0,0,0
ZNF124,9.78,11.8,4.87,4.42,4.07,4.31,9.46,7.51,11.09,11.2
ZNF131,11.6,13.16,6.34,6.66,7.54,6.87,12.88,8.53,12.07,13.31
ZNF132,1.16,1.11,0.44,0.33,0.28,0.12,0.94,0.47,0.6,0.51
ZNF133,1.39,1.65,0.81,1.57,0.66,0.98,1.41,0.91,1.65,1.12
ZNF134,2.89,2.85,2.09,1.74,2.17,1.26,2.62,1.55,3.25,3.99
ZNF135,0,0,0,0,0.02,0,0,0,0,0
ZNF136,0.78,1.52,1.16,0.73,0.57,1.46,1.03,0.41,2.17,1.47
ZNF137P,0,0,0,0,0,0,0.06,0,0,0
ZNF138,0.89,1.57,0.85,0.72,1.36,0.8,1.44,0.82,1.34,2.44
ZNF14,0.58,1.25,0.71,1,1.13,1.1,0.91,0.68,0.75,1.44
ZNF140,4.59,4.97,3.23,3.92,2.72,4.2,3.07,3.53,4.45,4.85
ZNF141,1.26,1.78,0.65,1.06,1.3,0.93,1.15,1.02,2.7,1.96
ZNF142,2.47,3.32,0.74,1.69,0.52,1.46,2.5,1.4,1.78,2.85
ZNF143,5.75,6.5,3.62,5.28,3.33,7.39,5.93,5.02,7.6,7.08
ZNF146,34.6,37.82,20.03,14.47,13.25,16.61,44.05,29.45,45.51,45.54
ZNF148,17.03,17.41,9.86,9.06,10.34,12.68,19.05,15.38,24.27,24.77
ZNF154,0.2,0.22,0.13,0.09,0.18,0.13,0.41,0.09,0.2,0.35
ZNF155,1.5,1.86,0.82,1.13,0.7,1.5,1.66,0.94,1.19,1.56
ZNF157,0,0,0,0,0,0,0,0,0,0
ZNF16,3.68,4.04,2.5,3.25,4.35,2.38,5.39,2.36,5.1,4.85
ZNF160,0.84,1.05,0.98,0.72,0.34,0.58,1.35,0.45,1.73,2.58
ZNF165,1.98,1.7,1.16,1.19,1,1.17,1.52,1.02,1.77,1.78
ZNF169,0.98,0.99,0.43,0.24,0.22,0.24,1.04,0.58,0.78,1.17
ZNF17,2.37,3.42,1.66,2.01,1.95,2.59,4.25,2.08,4.32,3
ZNF174,2.84,3.18,1.41,1.4,1.98,1.44,3.49,2.09,3.07,2.77
ZNF175,1.74,2.05,1.82,0.98,2.82,1.84,2.35,1.49,3.44,3.95
ZNF177,0.37,0.25,0.28,0.39,0.25,0.08,1.06,0.25,0.34,1.23
ZNF18,1.56,1.53,0.87,0.91,0.39,0.68,1.08,0.63,1.02,1.29
ZNF180,4.57,5.08,3.47,2.41,3.48,3.04,5.42,3.83,6.07,6.11
ZNF181,3.77,5.32,1.41,1.58,1.3,1.67,4.45,2.7,2.99,2.66
ZNF182,1.93,2.41,0.76,0.95,0.7,1.1,2.09,1.23,2.12,1.95
ZNF184,3.96,4.83,2.97,2.69,3.69,3.87,4.54,2.86,5.86,5.81
ZNF185,3.82,4.93,1.44,1.73,0.68,0.67,4.68,3.08,2.36,3.45
ZNF189,1.61,2.07,1.21,1.13,1.12,1.23,1.48,0.69,1.96,2.14
ZNF19,1.99,1.65,1.14,1.14,1,0.86,1.82,0.85,1.68,1.98
ZNF192P1,0.08,0.48,0.47,0,0.21,0.18,0.22,0.36,0.38,0.45
ZNF192P2,0,0,0,0,0,0,0.04,0,0.07,0
ZNF195,14.59,16.23,7.49,7.1,9.12,9.68,13.5,9.05,15.21,12.21
ZNF197,3.33,3.08,1.84,1.61,1.81,2.05,3.18,1.7,3.35,3.11
ZNF197-AS1,0.17,0.2,0.24,0.72,0,0,0.24,0.21,0.29,0.43
ZNF2,1.9,2.02,0.8,0.68,0.36,0.71,2.01,0.76,1.76,1.65
ZNF20,0.85,0.84,0.29,0.49,1.17,0.59,0.3,0.39,2.32,1.64
ZNF200,4.76,4.26,3.17,2.7,5.79,5.11,4.47,2.49,3.69,3.83
ZNF202,5.28,5.77,3.84,3.36,2.53,2.91,4.91,3.04,5.09,3.95
ZNF204P,1.19,1.97,0.63,0.78,0.77,1.2,2.41,1.14,2.23,2.76
ZNF205,3.71,3.15,2.06,2.47,2.35,1.86,3.84,2.23,4.16,2.87
ZNF207,50.94,50.96,28.57,34.99,34.74,37.91,58.21,44.97,58,64.25
ZNF208,0,0,0,0,0,0,0,0,0,0
ZNF209P,0,0.02,0,0,0,0,0,0,0,0
ZNF211,2.8,3.22,1.8,1.97,1.72,2,2.21,2.27,3.44,3.61
ZNF212,1.42,1.62,0.93,0.92,1.05,1.11,1.44,0.84,0.97,1.13
ZNF213,0.49,0.52,0.41,0.42,0.43,0.52,0.75,0.46,0.6,0.61
ZNF213-AS1,2.72,2.89,1.13,1.58,2.83,1.87,3.08,1.69,3.55,3.26
ZNF214,0.57,0.74,0.6,0.99,0.65,0.53,1.21,0.32,1.55,0.66
ZNF215,0.56,0.56,0.52,0.23,0.12,0.54,0.6,0.6,0.65,0.61
ZNF217,4.97,7.78,7.23,6.57,6.63,9.19,7.23,3.34,6.92,9.45
ZNF219,2.64,3.28,1.33,2.51,1.13,1.14,3.02,1.74,4.2,3.51
ZNF22,8.44,9.17,5.26,4.33,3.69,4.62,9.35,7.16,9.47,8.79
ZNF22-AS1,0.3,0.29,0.11,0.02,0.18,0.16,0.2,0.28,0.26,0.18
ZNF221,1.65,2.46,0.48,0.65,0.96,0.61,1.29,0.96,1.89,2
ZNF222,1.76,2.31,2.1,1.64,2.32,2.39,1.82,1.14,1.66,2.31
ZNF223,2.36,2.33,1.18,1.04,1.82,1.91,1.95,1.63,2.03,3.09
ZNF224,5.13,6.49,5.18,5.6,3.47,4,4.34,2.96,6.33,6.01
ZNF225,1.97,2.48,1.07,1.37,1.5,1.18,2.01,0.97,2.08,2.17
ZNF226,7.39,9.1,3.83,3.49,6.32,4.99,11.19,7.76,12.17,11.28
ZNF227,5.62,5.97,3.68,3.27,2.99,4.4,7.45,4.38,8.95,8.88
ZNF229,1.23,0.98,0.37,0.42,0.55,0.61,1.11,0.64,1,0.87
ZNF23,3.36,4.14,1.61,2.39,1.83,2.36,4.99,2.47,3.7,3.28
ZNF230,1.72,1.34,0.69,1.24,0.82,1.15,0.98,1.97,1.86,2.23
ZNF232,2.43,3.19,1.46,1.39,1.4,1.4,2.54,1.84,2.93,2.35
ZNF233,1.43,1.83,0.61,1.06,0.36,0.49,1.35,1.04,1.36,2.26
ZNF234,2.97,3.16,1.48,2.65,1.78,1.93,3.52,1.39,2.87,3.43
ZNF235,2.26,2.08,1.25,0.98,1.97,1.67,2.25,1.06,3.68,4.04
ZNF236,3.48,5.94,3.22,1.91,1.66,1.14,3.48,1.83,3.96,5.96
ZNF236-DT,0.1,0.08,0.05,0.09,0,0,0,0,0,0
ZNF239,5.01,6.3,1.63,1.97,1.58,1.67,5.07,3.61,4.69,4.55
ZNF24,11.89,10.54,6.12,5.12,5.94,8.05,10.1,7.59,12.31,14.26
ZNF248,2.22,2.08,0.57,0.82,0.62,1.08,1.9,0.83,1.67,1.35
ZNF25,0.26,0.54,0.21,0.12,0.27,0.13,0.34,0.34,0.5,0.44
ZNF25-DT,0,0,0,0,0,0,0,0,0,0
ZNF250,4.06,3.47,1.64,1.9,1.24,1.87,4.86,3.26,4.3,4.54
ZNF251,5.87,6.88,1.68,2.82,1.38,2.07,5.49,3.45,4.25,5.68
ZNF252P,15.1,16.4,6.21,5.64,4.67,5.09,15.25,9.15,11.4,13.41
ZNF252P-AS1,0.29,0.49,0.09,0.16,0.16,0.06,0.48,0.28,0.26,0.23
ZNF253,0.84,1.82,0.64,1.4,1.35,1.17,0.77,0.67,2.67,2.34
ZNF254,2.8,2.96,1.88,1.56,3.01,2.54,2.99,2.14,3.69,3.75
ZNF256,1.18,1.35,0.74,0.68,0.83,0.71,1.23,0.55,1.71,1.83
ZNF257,0.63,0.56,0.25,1.04,0.43,0.49,0.46,0.29,0.75,0.77
ZNF259P1,0.02,0.01,0,0,0.04,0.01,0.01,0,0,0.03
ZNF26,4.42,3.88,2.3,1.15,1.93,2.21,3.61,2.63,4.09,4.84
ZNF260,4.1,4.26,2.41,5.26,3.72,2.12,5.13,2.5,4.23,4.55
ZNF263,12.12,13.37,6.74,8.25,11.72,10.89,15.05,9.63,12.84,10.97
ZNF264,6.52,6.17,2.34,3.55,3.39,3.7,5.36,3.29,6.06,7.47
ZNF266,2.46,3.23,1.62,2.01,1.92,2.38,2.54,1.42,3.94,3.51
ZNF267,6.09,6.06,7.08,5.27,6.19,5.64,7.47,4.35,7,7.69
ZNF268,8.58,8.3,5.22,3.63,5.11,4.55,7.6,5.74,11.14,11.42
ZNF271P,5.01,5.89,2.34,2.59,1.58,1.9,5.03,3.44,5.4,5.32
ZNF273,0.67,0.65,0.79,0.55,0.57,0.71,0.94,0.53,1.68,1.05
ZNF274,10.68,9.22,8.9,7.16,13.2,11.61,8.2,6.53,13.22,11.67
ZNF275,1.38,1.22,0.45,0.42,0.23,0.39,1.19,0.59,0.9,1.05
ZNF276,4.31,3.73,1.55,2.09,1.86,2.14,5.07,2.74,3.51,3.46
ZNF277,4.08,5.02,2.9,2.67,2.51,3.31,5.64,3.54,7.95,8.7
ZNF28,6.41,7.52,3.07,3.97,2.73,4.46,8.97,3.25,8.88,13.39
ZNF280A,0,0,0,0,0,0,0,0,0,0
ZNF280B,0.7,0.71,0.43,0.39,0.34,0.3,0.78,0.61,0.54,0.68
ZNF280C,2.23,2.34,1.41,1,1.57,2.02,2.24,1.42,2.13,2.75
ZNF280D,4.99,6.51,5.46,3.3,4.3,5.32,6.49,5.67,6.2,5.82
ZNF281,6.01,7.3,4.27,4.18,4.39,5.43,7.38,4.05,7.78,8.11
ZNF282,4.85,4.82,2.26,2.03,2,3.14,6.33,2.71,4.84,5.09
ZNF283,2.22,4.33,1.88,2.39,1.24,1.81,2.93,1.18,3.3,3.18
ZNF284,0.88,1.19,0.45,0.19,0.29,0.53,1.02,0.48,0.89,0.84
ZNF285,2.68,2.12,0.49,0.93,0.37,0.84,3.27,2.15,2.97,3.12
ZNF285B,0.02,0.08,0,0.07,0,0.06,0,0,0.06,0.06
ZNF286A,5.77,4.01,3.19,2.22,3.19,4.04,5.81,4.47,6.29,5.37
ZNF286B,0.38,0.32,0.18,0.17,0.07,0.19,0.42,0.17,0.15,0.29
ZNF287,0,0,0.01,0,0.01,0,0,0,0,0.01
ZNF292,6.37,8.44,6.53,5.53,7.04,6.76,6.84,5.13,6.84,7.82
ZNF295-AS1,0,0.06,0.07,0.18,0.12,0.37,0.27,0.08,0.11,0.09
ZNF296,0.94,0.49,0.36,0.58,0.88,0.73,0.47,0.38,0.47,0.19
ZNF299P,0,0,0,0,0,0,0,0,0,0
ZNF29P,0,0,0,0,0,0,0,0,0,0
ZNF3,6.68,6.23,4.06,4.11,4.44,4.4,5.22,4.23,6.12,4.97
ZNF30,2.2,2.66,0.65,0.67,1.06,0.4,2.1,1.82,2.06,2.66
ZNF30-AS1,0.08,0,0,0,0,0,0.24,0.27,0,0.11
ZNF300,2.27,2.43,1.14,1.24,1.41,1.96,2.16,1.66,3.93,3.78
ZNF300P1,0.04,0.03,0.13,0.07,0.46,0.64,0.06,0,0,0
ZNF302,5.43,6.45,2.85,3.29,2.51,4.12,7.51,4.65,6.55,8.26
ZNF304,1.74,1.65,1.04,0.92,1.03,1.39,2.13,1.32,2,2.06
ZNF311,0.13,0.2,0.16,0.1,0.1,0.05,0.43,0.21,0.32,0.32
ZNF316,5.22,7.71,2.32,3.23,2.02,2.77,8.88,2.83,4.47,7.06
ZNF317,5.33,3.21,3.54,3.44,3.4,3.07,4.96,2.38,3.26,4.98
ZNF317P1,0,0,0,0,0,0,0,0,0,0
ZNF318,2.55,3.29,0.93,0.95,0.6,0.73,2.89,1.54,2.57,2.49
ZNF319,0.77,1.33,0.34,0.36,0.55,0.47,0.77,0.42,0.52,0.84
ZNF32,7.35,6.38,3.14,1.88,1.41,1.99,5.68,5,5.9,5.66
ZNF32-AS1,0,0.24,0,0,0,0,0.33,0,0,0
ZNF32-AS2,0.28,0.43,0,0.07,0,0.06,0.22,0.07,0,0.28
ZNF32-AS3,0,0,0,0,0,0,0,0,0,0
ZNF320,0.63,0.85,0.5,0.14,0.68,0.33,0.36,0.65,1.71,1.82
ZNF321P,1.71,3.47,0.93,2.41,1.77,2.66,4.99,2.72,9.11,8.45
ZNF322,7.27,7.51,3.47,3.83,3.5,3.68,7.6,5.76,8.39,8.67
ZNF322P1,0,0,0.23,0,0,0,0,0,0,0
ZNF324,7.18,6.66,4.05,4.01,3.5,4.52,5.16,3.76,5.54,5.84
ZNF324B,3.31,3.35,1.13,1.21,0.91,0.9,2.72,2.08,2.25,3.69
